log_id,user_id,action_type,reference_id,server_response,error_message,action_timestamp
1,,first_visit,,success,,2023-01-01 03:36:47
2,,first_visit,,success,,2023-01-01 23:39:35
3,,first_visit,,success,,2023-01-01 07:36:31
4,,first_visit,,success,,2023-01-01 14:48:23
5,,first_visit,,success,,2023-01-01 23:53:36
6,,first_visit,,success,,2023-01-01 13:14:01
7,,first_visit,,success,,2023-01-01 12:24:22
8,1,registration,1,success,,2023-01-01 16:33:10
9,2,registration,2,success,,2023-01-01 17:04:39
10,3,registration,3,success,,2023-01-01 04:51:38
11,4,registration,4,success,,2023-01-01 13:33:43
12,5,registration,5,success,,2023-01-01 19:57:31
13,6,registration,6,success,,2023-01-01 05:10:11
14,7,registration,7,success,,2023-01-01 03:29:20
15,8,registration,8,success,,2023-01-01 13:02:06
16,5,login,,success,,2023-01-01 08:57:14
17,3,login,,success,,2023-01-01 08:09:20
18,4,login,,success,,2023-01-01 17:02:21
19,2,login,,success,,2023-01-01 18:32:04
20,2,login,,success,,2023-01-01 20:20:43
21,1,login,,success,,2023-01-01 21:33:16
22,7,login,,success,,2023-01-01 07:12:38
23,5,login,,success,,2023-01-01 10:02:03
24,8,login,,success,,2023-01-01 02:13:42
25,4,login,,success,,2023-01-01 13:14:24
26,5,logout,,success,,2023-01-01 10:03:42
27,5,logout,,success,,2023-01-01 07:55:07
28,8,logout,,success,,2023-01-01 10:01:24
29,2,logout,,success,,2023-01-01 20:59:49
30,5,logout,,success,,2023-01-01 12:11:58
31,7,create_topic,1,success,,2023-01-01 23:33:46
32,4,create_topic,2,success,,2023-01-01 20:38:33
33,4,create_topic,3,success,,2023-01-01 00:33:37
34,6,create_topic,4,success,,2023-01-01 16:50:37
35,,create_topic,,error,User not logged in,2023-01-01 08:46:57
36,,create_topic,,error,User not logged in,2023-01-01 23:56:21
37,4,enter_topic,,success,,2023-01-01 11:41:35
38,7,enter_topic,,success,,2023-01-01 15:56:45
39,8,enter_topic,,success,,2023-01-01 12:16:31
40,3,enter_topic,,success,,2023-01-01 02:08:53
41,2,enter_topic,,success,,2023-01-01 05:47:06
42,6,enter_topic,,success,,2023-01-01 18:35:35
43,1,enter_topic,,success,,2023-01-01 11:46:41
44,4,enter_topic,,success,,2023-01-01 02:05:24
45,2,enter_topic,,success,,2023-01-01 20:46:14
46,1,enter_topic,,success,,2023-01-01 00:37:36
47,5,delete_topic,,success,,2023-01-01 18:56:10
48,3,delete_topic,,success,,2023-01-01 09:37:10
49,5,delete_topic,,success,,2023-01-01 14:41:17
50,3,delete_topic,,success,,2023-01-01 05:44:55
51,7,delete_topic,,success,,2023-01-01 13:40:37
52,2,delete_topic,,success,,2023-01-01 16:28:39
53,4,delete_topic,,success,,2023-01-01 17:07:39
54,,write_message,1,success,,2023-01-01 15:05:41
55,,write_message,2,success,,2023-01-01 11:10:58
56,7,write_message,3,success,,2023-01-01 02:14:12
57,,write_message,4,success,,2023-01-01 22:00:56
58,4,write_message,5,success,,2023-01-01 17:13:03
59,5,write_message,6,success,,2023-01-01 02:23:42
60,1,write_message,7,success,,2023-01-01 23:37:57
61,,write_message,8,success,,2023-01-01 05:31:28
62,,write_message,9,success,,2023-01-01 09:53:19
63,,first_visit,,success,,2023-01-02 16:55:35
64,,first_visit,,success,,2023-01-02 07:02:45
65,,first_visit,,success,,2023-01-02 14:39:43
66,,first_visit,,success,,2023-01-02 08:59:03
67,,first_visit,,success,,2023-01-02 19:24:38
68,,first_visit,,success,,2023-01-02 07:29:05
69,9,registration,9,success,,2023-01-02 02:52:18
70,10,registration,10,success,,2023-01-02 23:50:55
71,11,registration,11,success,,2023-01-02 21:17:11
72,12,registration,12,success,,2023-01-02 09:14:27
73,13,registration,13,success,,2023-01-02 20:31:56
74,14,registration,14,success,,2023-01-02 06:23:28
75,15,registration,15,success,,2023-01-02 08:13:44
76,16,registration,16,success,,2023-01-02 02:18:49
77,17,registration,17,success,,2023-01-02 19:18:29
78,18,registration,18,success,,2023-01-02 19:06:39
79,12,login,,success,,2023-01-02 17:11:31
80,5,login,,success,,2023-01-02 19:05:15
81,3,login,,success,,2023-01-02 05:26:42
82,1,login,,success,,2023-01-02 03:20:49
83,5,login,,success,,2023-01-02 10:30:02
84,11,login,,success,,2023-01-02 07:01:39
85,7,login,,success,,2023-01-02 07:14:50
86,9,logout,,success,,2023-01-02 20:07:24
87,10,logout,,success,,2023-01-02 03:01:10
88,10,logout,,success,,2023-01-02 17:53:41
