topic_id,user_id,title,created_at
1,7,Topic 1,2023-01-01 23:33:46
2,4,Topic 2,2023-01-01 20:38:33
3,4,Topic 3,2023-01-01 00:33:37
4,6,Topic 4,2023-01-01 16:50:37
5,1,Topic 5,2023-01-02 21:06:01
6,13,Topic 6,2023-01-02 10:20:43
7,11,Topic 7,2023-01-02 22:42:21
8,5,Topic 8,2023-01-02 06:27:01
9,18,Topic 9,2023-01-02 14:11:30
10,2,Topic 10,2023-01-02 02:33:58
11,18,Topic 11,2023-01-02 09:10:52
12,1,Topic 12,2023-01-02 02:21:22
13,3,Topic 13,2023-01-03 14:01:20
14,23,Topic 14,2023-01-03 13:17:13
15,13,Topic 15,2023-01-03 08:24:43
16,3,Topic 16,2023-01-03 10:43:06
17,6,Topic 17,2023-01-04 02:26:01
18,12,Topic 18,2023-01-04 07:15:08
19,1,Topic 19,2023-01-04 13:09:02
20,31,Topic 20,2023-01-04 01:02:00
21,7,Topic 21,2023-01-04 06:07:51
22,21,Topic 22,2023-01-05 16:19:26
23,37,Topic 23,2023-01-05 00:31:24
24,39,Topic 24,2023-01-05 13:46:57
25,28,Topic 25,2023-01-06 23:00:45
26,42,Topic 26,2023-01-06 13:49:57
27,23,Topic 27,2023-01-06 17:46:03
28,10,Topic 28,2023-01-07 08:29:24
29,19,Topic 29,2023-01-07 03:51:55
30,53,Topic 30,2023-01-07 09:57:22
31,26,Topic 31,2023-01-07 01:26:26
32,2,Topic 32,2023-01-07 14:17:23
33,15,Topic 33,2023-01-07 15:27:27
34,59,Topic 34,2023-01-08 21:11:11
35,33,Topic 35,2023-01-08 17:22:18
36,56,Topic 36,2023-01-08 03:23:05
37,2,Topic 37,2023-01-08 13:28:57
38,9,Topic 38,2023-01-08 04:11:58
39,21,Topic 39,2023-01-08 03:35:12
40,57,Topic 40,2023-01-08 21:10:36
41,26,Topic 41,2023-01-09 04:23:37
42,5,Topic 42,2023-01-09 22:36:04
43,63,Topic 43,2023-01-09 17:45:37
44,36,Topic 44,2023-01-09 14:21:18
45,31,Topic 45,2023-01-09 22:50:03
46,10,Topic 46,2023-01-10 12:59:00
47,26,Topic 47,2023-01-10 19:16:19
48,31,Topic 48,2023-01-10 18:59:41
49,26,Topic 49,2023-01-11 10:28:10
50,70,Topic 50,2023-01-11 05:25:10
51,4,Topic 51,2023-01-11 18:22:37
52,68,Topic 52,2023-01-11 12:35:19
53,31,Topic 53,2023-01-11 05:13:15
54,37,Topic 54,2023-01-12 09:53:12
55,3,Topic 55,2023-01-12 20:33:38
56,33,Topic 56,2023-01-12 15:02:44
57,97,Topic 57,2023-01-13 16:04:32
58,33,Topic 58,2023-01-13 10:18:48
59,5,Topic 59,2023-01-13 02:10:07
60,11,Topic 60,2023-01-13 02:14:25
61,22,Topic 61,2023-01-14 16:13:40
62,65,Topic 62,2023-01-14 18:10:09
63,1,Topic 63,2023-01-14 09:40:23
64,75,Topic 64,2023-01-14 13:22:44
65,74,Topic 65,2023-01-14 22:32:37
66,55,Topic 66,2023-01-15 01:34:08
67,4,Topic 67,2023-01-15 06:28:23
68,12,Topic 68,2023-01-15 22:44:12
69,61,Topic 69,2023-01-16 13:32:58
70,104,Topic 70,2023-01-16 13:34:25
71,46,Topic 71,2023-01-16 18:48:03
72,91,Topic 72,2023-01-16 01:56:21
73,27,Topic 73,2023-01-16 15:57:05
74,64,Topic 74,2023-01-17 12:38:23
75,49,Topic 75,2023-01-17 21:59:02
76,80,Topic 76,2023-01-17 21:58:41
77,126,Topic 77,2023-01-17 01:51:49
78,31,Topic 78,2023-01-17 18:21:53
79,10,Topic 79,2023-01-18 20:43:45
80,68,Topic 80,2023-01-18 21:45:16
81,32,Topic 81,2023-01-18 04:13:54
82,89,Topic 82,2023-01-18 23:17:49
83,48,Topic 83,2023-01-18 17:05:16
84,93,Topic 84,2023-01-18 03:41:22
85,108,Topic 85,2023-01-18 20:19:19
86,135,Topic 86,2023-01-18 20:04:12
87,59,Topic 87,2023-01-19 01:55:23
88,2,Topic 88,2023-01-19 16:34:40
89,103,Topic 89,2023-01-19 07:17:49
90,8,Topic 90,2023-01-19 13:37:04
91,38,Topic 91,2023-01-20 08:59:59
92,91,Topic 92,2023-01-20 12:42:00
93,114,Topic 93,2023-01-20 12:11:55
94,14,Topic 94,2023-01-20 22:22:35
95,21,Topic 95,2023-01-21 03:43:36
96,6,Topic 96,2023-01-21 16:29:49
97,104,Topic 97,2023-01-21 00:39:31
98,129,Topic 98,2023-01-21 23:00:22
99,53,Topic 99,2023-01-21 19:20:37
100,162,Topic 100,2023-01-21 22:32:39
101,135,Topic 101,2023-01-22 13:24:44
102,26,Topic 102,2023-01-22 04:02:17
103,26,Topic 103,2023-01-22 04:10:02
104,23,Topic 104,2023-01-22 09:08:23
105,92,Topic 105,2023-01-22 17:23:30
106,82,Topic 106,2023-01-22 23:02:07
107,84,Topic 107,2023-01-22 10:23:00
108,142,Topic 108,2023-01-23 19:14:46
109,44,Topic 109,2023-01-23 18:44:20
110,31,Topic 110,2023-01-23 21:54:37
111,65,Topic 111,2023-01-24 16:27:49
112,85,Topic 112,2023-01-24 08:33:02
113,7,Topic 113,2023-01-24 06:33:28
114,55,Topic 114,2023-01-24 00:41:49
115,176,Topic 115,2023-01-24 11:03:04
116,58,Topic 116,2023-01-24 22:29:24
117,3,Topic 117,2023-01-24 23:18:33
118,142,Topic 118,2023-01-25 22:58:23
119,92,Topic 119,2023-01-25 06:01:01
120,15,Topic 120,2023-01-25 11:57:00
121,47,Topic 121,2023-01-25 04:02:51
122,157,Topic 122,2023-01-25 07:15:49
123,179,Topic 123,2023-01-25 06:47:43
124,15,Topic 124,2023-01-25 23:25:59
125,201,Topic 125,2023-01-26 03:46:24
126,67,Topic 126,2023-01-26 00:12:46
127,25,Topic 127,2023-01-26 11:15:14
128,38,Topic 128,2023-01-26 10:03:33
129,170,Topic 129,2023-01-26 08:48:28
130,126,Topic 130,2023-01-27 03:09:32
131,187,Topic 131,2023-01-27 08:09:49
132,138,Topic 132,2023-01-27 09:16:13
133,22,Topic 133,2023-01-28 15:41:34
134,202,Topic 134,2023-01-28 16:37:58
135,29,Topic 135,2023-01-28 18:25:39
136,33,Topic 136,2023-01-28 06:56:51
137,192,Topic 137,2023-01-29 21:00:39
138,48,Topic 138,2023-01-29 07:05:24
139,97,Topic 139,2023-01-29 15:16:57
140,24,Topic 140,2023-01-29 17:05:52
141,108,Topic 141,2023-01-29 22:23:34
142,68,Topic 142,2023-01-29 12:46:08
143,29,Topic 143,2023-01-30 07:36:48
144,40,Topic 144,2023-01-30 15:47:22
145,89,Topic 145,2023-01-30 17:21:14
146,17,Topic 146,2023-01-31 09:41:20
147,61,Topic 147,2023-01-31 05:49:36
148,211,Topic 148,2023-01-31 16:05:42
149,225,Topic 149,2023-01-31 15:17:28
150,178,Topic 150,2023-01-31 04:04:48
151,58,Topic 151,2023-01-31 11:53:23
152,110,Topic 152,2023-01-31 15:49:34
153,159,Topic 153,2023-01-31 23:03:47
