day,new_accounts,total_messages,anon_message_percentage,topic_change_percentage
2023-01-01,5,5,80.0,0
2023-01-02,7,10,60.0,100.0
2023-01-03,9,8,50.0,-50.0
2023-01-04,6,7,42.86,25.0
2023-01-05,6,7,57.14,-20.0
2023-01-06,8,5,60.0,50.0
2023-01-07,5,10,40.0,33.33
2023-01-08,5,6,66.67,-62.5
2023-01-09,9,10,30.0,0.0
2023-01-10,5,6,66.67,166.67
2023-01-11,6,6,83.33,-12.5
2023-01-12,6,10,20.0,-28.57
2023-01-13,9,5,20.0,40.0
2023-01-14,10,5,60.0,0.0
2023-01-15,8,5,60.0,-57.14
2023-01-16,9,6,50.0,133.33
2023-01-17,6,5,40.0,-42.86
2023-01-18,5,9,33.33,50.0
2023-01-19,9,10,50.0,-16.67
2023-01-20,5,5,20.0,-20.0
2023-01-21,9,6,50.0,-25.0
2023-01-22,10,10,50.0,100.0
2023-01-23,6,8,62.5,0.0
2023-01-24,9,9,44.44,-50.0
2023-01-25,9,6,66.67,0.0
2023-01-26,10,5,40.0,133.33
2023-01-27,9,5,40.0,-14.29
2023-01-28,6,6,83.33,-33.33
2023-01-29,9,10,70.0,75.0
2023-01-30,10,7,42.86,-42.86
