day,new_accounts,anon_message_percentage,total_messages,topic_change_percentage
2023-01-01,5,80.00,5,0
2023-01-02,7,60.00,10,100.00
2023-01-03,9,50.00,8,-50.00
2023-01-04,6,42.86,7,25.00
2023-01-05,6,57.14,7,-20.00
2023-01-06,8,60.00,5,50.00
2023-01-07,5,40.00,10,33.33
2023-01-08,5,66.67,6,-62.50
2023-01-09,9,30.00,10,0.00
2023-01-10,5,66.67,6,166.67
2023-01-11,6,83.33,6,-12.50
2023-01-12,6,20.00,10,-28.57
2023-01-13,9,20.00,5,40.00
2023-01-14,10,60.00,5,0.00
2023-01-15,8,60.00,5,-57.14
2023-01-16,9,50.00,6,133.33
2023-01-17,6,40.00,5,-42.86
2023-01-18,5,33.33,9,50.00
2023-01-19,9,50.00,10,-16.67
2023-01-20,5,20.00,5,-20.00
2023-01-21,9,50.00,6,-25.00
2023-01-22,10,50.00,10,100.00
2023-01-23,6,62.50,8,0.00
2023-01-24,9,44.44,9,-50.00
2023-01-25,9,66.67,6,0.00
2023-01-26,10,40.00,5,133.33
2023-01-27,9,40.00,5,-14.29
2023-01-28,6,83.33,6,-33.33
2023-01-29,9,70.00,10,75.00
2023-01-30,10,42.86,7,-42.86
