log_id,user_id,action_type,reference_id,server_response,error_message,action_timestamp
1,,first_visit,,success,,2023-01-01 11:20:16
2,,first_visit,,success,,2023-01-01 07:00:23
3,,first_visit,,success,,2023-01-01 01:40:15
4,,first_visit,,success,,2023-01-01 18:44:22
5,,first_visit,,success,,2023-01-01 17:57:51
6,,first_visit,,success,,2023-01-01 08:38:27
7,,first_visit,,success,,2023-01-01 08:05:55
8,,first_visit,,success,,2023-01-01 08:39:20
9,,first_visit,,success,,2023-01-01 03:04:42
10,1,registration,1,success,,2023-01-01 21:39:26
11,2,registration,2,success,,2023-01-01 17:58:05
12,3,registration,3,success,,2023-01-01 17:08:46
13,4,registration,4,success,,2023-01-01 10:14:36
14,5,registration,5,success,,2023-01-01 02:21:29
15,3,login,,success,,2023-01-01 17:57:27
16,2,login,,success,,2023-01-01 01:08:20
17,5,login,,success,,2023-01-01 05:27:03
18,2,login,,success,,2023-01-01 03:47:46
19,1,login,,success,,2023-01-01 06:36:22
20,3,login,,success,,2023-01-01 04:40:03
21,1,login,,success,,2023-01-01 06:19:32
22,1,login,,success,,2023-01-01 03:17:49
23,2,login,,success,,2023-01-01 02:31:07
24,2,logout,,success,,2023-01-01 13:01:08
25,4,logout,,success,,2023-01-01 09:47:35
26,3,logout,,success,,2023-01-01 19:23:00
27,5,logout,,success,,2023-01-01 09:25:36
28,2,logout,,success,,2023-01-01 23:58:38
29,5,logout,,success,,2023-01-01 08:55:18
30,4,logout,,success,,2023-01-01 13:16:34
31,1,logout,,success,,2023-01-01 06:26:57
32,1,logout,,success,,2023-01-01 06:02:24
33,1,logout,,success,,2023-01-01 09:07:21
34,1,create_topic,1,success,,2023-01-01 11:49:32
35,3,create_topic,2,success,,2023-01-01 12:19:26
36,2,create_topic,3,success,,2023-01-01 23:35:44
37,1,create_topic,4,success,,2023-01-01 07:57:31
38,,create_topic,,error,User not logged in,2023-01-01 09:14:46
39,,create_topic,,error,User not logged in,2023-01-01 06:18:49
40,3,enter_topic,,success,,2023-01-01 13:47:02
41,1,enter_topic,,success,,2023-01-01 09:12:56
42,4,enter_topic,,success,,2023-01-01 16:58:39
43,3,enter_topic,,success,,2023-01-01 17:28:24
44,1,enter_topic,,success,,2023-01-01 05:32:19
45,3,delete_topic,,success,,2023-01-01 10:54:07
46,3,delete_topic,,success,,2023-01-01 04:29:36
47,5,delete_topic,,success,,2023-01-01 02:05:39
48,3,delete_topic,,success,,2023-01-01 13:57:37
49,5,delete_topic,,success,,2023-01-01 21:26:10
50,3,delete_topic,,success,,2023-01-01 01:12:07
51,3,delete_topic,,success,,2023-01-01 00:34:48
52,5,delete_topic,,success,,2023-01-01 15:35:06
53,4,delete_topic,,success,,2023-01-01 05:14:12
54,,write_message,1,success,,2023-01-01 21:42:40
55,,write_message,2,success,,2023-01-01 04:18:21
56,,write_message,3,success,,2023-01-01 21:06:02
57,,write_message,4,success,,2023-01-01 10:27:49
58,1,write_message,5,success,,2023-01-01 07:53:35
59,,first_visit,,success,,2023-01-02 12:48:29
60,,first_visit,,success,,2023-01-02 16:14:43
61,,first_visit,,success,,2023-01-02 07:05:48
62,,first_visit,,success,,2023-01-02 07:59:46
63,,first_visit,,success,,2023-01-02 02:33:09
64,,first_visit,,success,,2023-01-02 14:45:06
65,,first_visit,,success,,2023-01-02 01:46:23
66,,first_visit,,success,,2023-01-02 06:11:25
67,,first_visit,,success,,2023-01-02 21:37:09
68,6,registration,6,success,,2023-01-02 18:50:36
69,7,registration,7,success,,2023-01-02 23:32:18
70,8,registration,8,success,,2023-01-02 14:03:41
71,9,registration,9,success,,2023-01-02 22:45:26
72,10,registration,10,success,,2023-01-02 05:47:45
73,11,registration,11,success,,2023-01-02 01:12:34
74,12,registration,12,success,,2023-01-02 15:51:27
75,4,login,,success,,2023-01-02 23:26:00
76,11,login,,success,,2023-01-02 06:30:43
77,10,login,,success,,2023-01-02 11:17:17
78,7,login,,success,,2023-01-02 04:56:39
