topic_id,user_id,title,created_at
1,1,Topic 1,2023-01-01 11:49:32
2,3,Topic 2,2023-01-01 12:19:26
3,2,Topic 3,2023-01-01 23:35:44
4,1,Topic 4,2023-01-01 07:57:31
5,4,Topic 5,2023-01-02 21:04:43
6,6,Topic 6,2023-01-02 21:50:24
7,9,Topic 7,2023-01-02 05:19:36
8,7,Topic 8,2023-01-02 08:33:48
9,10,Topic 9,2023-01-02 00:35:17
10,5,Topic 10,2023-01-02 22:22:45
11,9,Topic 11,2023-01-02 11:26:44
12,11,Topic 12,2023-01-02 08:38:08
13,3,Topic 13,2023-01-03 08:46:47
14,13,Topic 14,2023-01-03 22:20:52
15,1,Topic 15,2023-01-03 22:18:57
16,2,Topic 16,2023-01-03 07:07:15
17,12,Topic 17,2023-01-04 06:32:07
18,27,Topic 18,2023-01-04 18:30:38
19,19,Topic 19,2023-01-04 13:56:14
20,24,Topic 20,2023-01-04 11:09:42
21,9,Topic 21,2023-01-04 06:50:11
22,8,Topic 22,2023-01-05 22:54:10
23,21,Topic 23,2023-01-05 01:28:07
24,12,Topic 24,2023-01-05 17:05:30
25,4,Topic 25,2023-01-05 06:50:35
26,36,Topic 26,2023-01-06 02:28:21
27,23,Topic 27,2023-01-06 04:26:37
28,40,Topic 28,2023-01-06 20:04:09
29,34,Topic 29,2023-01-06 23:30:35
30,37,Topic 30,2023-01-06 09:13:03
31,1,Topic 31,2023-01-06 14:27:48
32,7,Topic 32,2023-01-07 08:31:30
33,32,Topic 33,2023-01-07 20:36:56
34,3,Topic 34,2023-01-07 17:51:49
35,22,Topic 35,2023-01-07 01:33:11
36,32,Topic 36,2023-01-07 12:39:07
37,41,Topic 37,2023-01-07 09:15:58
38,19,Topic 38,2023-01-07 10:29:35
39,10,Topic 39,2023-01-07 23:59:56
40,8,Topic 40,2023-01-08 02:57:47
41,42,Topic 41,2023-01-08 22:23:34
42,16,Topic 42,2023-01-08 22:18:07
43,30,Topic 43,2023-01-09 01:15:04
44,58,Topic 44,2023-01-09 21:04:25
45,10,Topic 45,2023-01-09 12:05:35
46,52,Topic 46,2023-01-10 17:07:05
47,7,Topic 47,2023-01-10 20:16:47
48,45,Topic 48,2023-01-10 16:49:09
49,63,Topic 49,2023-01-10 07:23:21
50,23,Topic 50,2023-01-10 10:37:47
51,60,Topic 51,2023-01-10 03:59:01
52,52,Topic 52,2023-01-10 02:30:10
